avefenix	mame	Ave Fenix (Electrogame, Spanish bootleg of Phoenix)
avefenixl	mame	Ave Fenix (Laguna, Spanish bootleg of Phoenix)
avefenixrf	mame	Ave Fenix (Recreativos Franco, Spanish bootleg of Phoe
avengers	mame	Avengers (US set 1)
avengers2	mame	Avengers (US set 2)
avengrgs	mame	Avengers In Galactic Storm (US)
avengrgsj	mame	Avengers In Galactic Storm (Japan)
avsp	cps2	Alien vs Predator (940520 Euro)
avspa	cps2	Alien vs Predator (940520 Asia)
avspd	cps2	Alien vs Predator (940520 Euro Phoenix Edition)
avsph	cps2	Alien vs Predator (940520 Hispanic)
avspirit	mame	Avenging Spirit
avspj	cps2	Alien vs Predator (940520 Japan)
avspu	cps2	Alien vs Predator (940520 USA)
aztarac	mame	Aztarac
azurian	mame	Azurian Attack
b2b	neogeo	Bang Bang Busters (2010 NCI release)
backfire	mame	Backfire! (set 1)
backfirea	mame	Backfire! (set 2)
backfirt	mame	Back Fire (Tecmo, bootleg)
baddudes	mame	Bad Dudes vs. Dragonninja (US)
badlands	mame	Bad Lands
bagman	mame	Bagman
bagmanj	mame	Bagman (Taito)
bagmanm2	mame	Bagman (bootleg on Moon Cresta hardware set 2)
bagmanmc	mame	Bagman (bootleg on Moon Cresta hardware set 1)
bagmans	mame	Bagman (Stern Electronics, set 1)
bagmans2	mame	Bagman (Stern Electronics, set 2)
bagnard	mame	Le Bagnard (set 1)
bagnarda	mame	Le Bagnard (set 2)
bagnardi	mame	Le Bagnard (Itisa, Spain)
bakatono	neogeo	Bakatonosama Mahjong Manyuuki (MOM-002)(MOH-002)
bakubrkr	mame	Bakuretsu Breaker (Japan)
bakutotu	mame	Bakutotsu Kijuutei
balcube	mame	Bal Cube
ballboy	mame	Ball Boy
ballbros	mame	Balloon Brothers
baluba	mame	Baluba-louk no Densetsu (Japan)
banbam	mame	BanBam
bang	mame	Bang!
bangball	mame	Bang Bang Ball (v1.05)
bangbead	neogeo	Bang Bead
bangbedp	neogeo	Bang Bead (Prototype?)
bangj	mame	Gun Gabacho (Japan)
bankp	mame	Bank Panic
baraduke	mame	Baraduke
baryon	mame	Baryon - Future Assault (set 1)
baryona	mame	Baryon - Future Assault (set 2)
batcir	cps2	Battle Circuit (970319 Euro)
batcira	cps2	Battle Circuit (970319 Asia)
batcird	cps2	Battle Circuit (970319 Euro Phoenix Edition)
batcirj	cps2	Battle Circuit (970319 Japan)
batlbubl	mame	Battle Bubble (v2.00)
batlzone	mame	Battle Zone (bootleg of Mayday)
batman	mame	Batman
batman2	mame	Batman Part 2
batrider	mame	Armed Police Batrider (Europe) (Fri Feb 13 1998)
batriderc	mame	Armed Police Batrider (China) (Fri Feb 13 1998)
batriderhk	mame	Armed Police Batrider - A Version (Hong Kong) (Mon Dec
batriderj	mame	Armed Police Batrider - B Version (Japan) (Fri Feb 13
batriderja	mame	Armed Police Batrider - A Version (Japan) (Mon Dec 22
batriderk	mame	Armed Police Batrider (Korea) (Fri Feb 13 1998)
batridert	mame	Armed Police Batrider - A Version (Taiwan) (Mon Dec 22
batrideru	mame	Armed Police Batrider (U.S.A.) (Fri Feb 13 1998)
batsugun	mame	Batsugun (set 1)
batsuguna	mame	Batsugun (set 2)
batsugunb	mame	Batsugun (Korean PCB)
batsugunsp	mame	Batsugun (Special Ver.)
battlane	mame	Battle Lane! Vol. 5 (set 1)
battlane2	mame	Battle Lane! Vol. 5 (set 2)
battlane3	mame	Battle Lane! Vol. 5 (set 3)
battlex	mame	Battle Cross
battlnts	mame	Battlantis (program code G)
battlntsa	mame	Battlantis (program code F)
battlntsj	mame	Battlantis (Japan, program code E)
battroad	mame	The Battle-Road
bayroute	mame	Bay Route (set 3, World, FD1094 317-0116)
bayroute1	mame	Bay Route (set 1, US, unprotected)
bayrouted	mame	Bay Route (set 3, World, FD1094 317-0116 decrypted)
bayroutej	mame	Bay Route (set 2, Japan, FD1094 317-0115)
bayroutejd	mame	Bay Route (set 2, Japan, FD1094 317-0115 decrypted)
bbakraid	mame	Battle Bakraid - Unlimited Version (U.S.A.) (Tue Jun 8
bbakraidc	mame	Battle Bakraid - Unlimited Version (China) (Tue Jun 8
bbakraidj	mame	Battle Bakraid - Unlimited Version (Japan) (Tue Jun 8
bbakraidja	mame	Battle Bakraid (Japan) (Wed Apr 7 1999)
bballs	mame	Bouncing Balls
bballsa	mame	Bouncing Balls (Adult)
bbmanw	mame	Bomber Man World / New Dyna Blaster - Global Quest
bbmanwj	mame	Bomber Man World (Japan)
bbmanwja	mame	Bomber Man World (Japan, revised sound hardware)
bbredux	mame	Bobble Bobble ('bootleg redux' hack for Bobble Bobble
bbros	mame	Buster Bros. (USA)
bbusters	mame	Beast Busters (World)
bbustersj	mame	Beast Busters (Japan, Version 2, 3 Players)
bbustersja	mame	Beast Busters (Japan, Version 2, 2 Players)
bbustersu	mame	Beast Busters (US, Version 3)
bbustersua	mame	Beast Busters (US, Version 2)
bchopper	mame	Battle Chopper
bcrusher	mame	Bone Crusher
bcruzm12	mame	Battle Cruiser M-12
bcstry	mame	B.C. Story (set 1)
bcstrya	mame	B.C. Story (set 2)
beaminv	mame	Beam Invader
beast	neogeo	Shadow of the Beast (Neo Geo demo)
beastfp	mame	Beastie Feastie
berabohm	mame	Beraboh Man (Japan, Rev C)
berabohmb	mame	Beraboh Man (Japan, Rev B)
berlwall	mame	The Berlin Wall
berlwallk	mame	The Berlin Wall (Korea)
berlwallt	mame	The Berlin Wall (bootleg ?)
bermudat	mame	Bermuda Triangle (World?)
bermudata	mame	Bermuda Triangle (World Wars) (US)
bermudatj	mame	Bermuda Triangle (Japan)
bestbest	mame	Best Of Best
bestleag	mame	Best League (bootleg of Big Striker, Italian Serie A)
bestleaw	mame	Best League (bootleg of Big Striker, World Cup)
bestri	mame	Bestri (Korea)
bgaregga	mame	Battle Garegga (Europe / USA / Japan / Asia) (Sat Feb
bgareggabl	mame	1945 Part 2 (Chinese hack of Battle Garegga)
bgareggabla	mame	Lei Shen Zhuan Thunder Deity Biography (Chinese hack o
bgareggacn	mame	Battle Garegga - Type 2 (Denmark / China) (Tue Apr 2 1
bgareggahk	mame	Battle Garegga (Austria / Hong Kong) (Sat Feb 3 1996)
bgaregganv	mame	Battle Garegga - New Version (Austria / Hong Kong) (Sa
bgareggat2	mame	Battle Garegga - Type 2 (Europe / USA / Japan / Asia)
bgareggatw	mame	Battle Garegga (Taiwan / Germany) (Thu Feb 1 1996)
bgareggaz	mame	Battle Garegga Zakk version (Europe / USA / Japan / As
bigbang	mame	Big Bang (9th Nov. 1993)
bigbucks	mame	Big Bucks
bigfghtr	mame	Tatakae! Big Fighter (Japan)
bigkarnk	mame	Big Karnak
bigprowr	mame	The Big Pro Wrestling!
bigstrik	mame	Big Striker
bigstrkb	mame	Big Striker (bootleg)
bigstrkba	mame	Big Striker (bootleg w/Italian teams)
bigtwin	mame	Big Twin
bikkuric	mame	Bikkuri Card (Japan)
billiard	mame	The Billiards
bioatack	mame	Bio Attack
biomtoy	mame	Biomechanical Toy (Ver. 1.0.1885)
biomtoya	mame	Biomechanical Toy (Ver. 1.0.1884)
biomtoyb	mame	Biomechanical Toy (Ver. 1.0.1878)
biomtoyc	mame	Biomechanical Toy (Ver. 1.0.1870)
bionicc	mame	Bionic Commando (Euro)
bionicc1	mame	Bionic Commando (US set 1)
bionicc2	mame	Bionic Commando (US set 2)
bioniccbl	mame	Bionic Commandos (bootleg, set 1)
bioniccbl2	mame	Bionic Commandos (bootleg, set 2)
bioplayc	mame	Bioplaything Cop (Ver. 1.0.1823, prototype)
bioship	mame	Bio-ship Paladin
birdiy	mame	Birdiy
birdtry	mame	Birdie Try (Japan)
bishi	mame	Bishi Bashi Championship Mini Game Senshuken (ver JAA,
bjourney	neogeo	Blue's Journey / Raguy (ALM-001)(ALH-001)
bjourneyh	neogeo	Blue's Journey / Raguy (ALH-001)
bjtwin	mame	Bombjack Twin (set 1)
bjtwina	mame	Bombjack Twin (set 2)
blackt96	mame	Black Touch '96
bladestl	mame	Blades of Steel (version T)
bladestle	mame	Blades of Steel (version E)
bladestll	mame	Blades of Steel (version L)
blandia	mame	Blandia
blandiap	mame	Blandia (prototype)
blaster	mame	Blaster
blasto	mame	Blasto
blastoff	mame	Blast Off (Japan)
blazeon	mame	Blaze On (World)
blazeonj	mame	Blaze On (Japan)
blazer	mame	Blazer (Japan)
blazstar	neogeo	Blazing Star
blkbustr	mame	BlockBuster
blkdrgon	mame	Black Dragon (Japan)
blkdrgonb	mame	Black Dragon (bootleg)
blkheart	mame	Black Heart
blkheartj	mame	Black Heart (Japan)
blkhole	mame	Black Hole
blkpnthr	mame	Black Panther
blktiger	mame	Black Tiger
blktigera	mame	Black Tiger (older)
blktigerb1	mame	Black Tiger (bootleg set 1)
blktigerb2	mame	Black Tiger (bootleg set 2)
blktigerb3	mame	Black Tiger / Black Dragon (mixed bootleg?)
blmbycar	mame	Blomby Car
blmbycaru	mame	Blomby Car (not encrypted)
block	mame	Block Block (World 911219 Joystick)
blockade	mame	Blockade
blockbl	mame	Block Block (bootleg)
blockcar	mame	Block Carnival / Thunder & Lightning 2
blockgal	mame	Block Gal (MC-8123B, 317-0029)
blockhl	mame	Block Hole
blockj	mame	Block Block (Japan 910910)
blockout	mame	Block Out (set 1)
blockout2	mame	Block Out (set 2)
blockoutj	mame	Block Out (Japan)
blockr1	mame	Block Block (World 911106 Joystick)
blockr2	mame	Block Block (World 910910)
bloodbro	mame	Blood Bros. (World?)
bloodbroj	mame	Blood Bros. (Japan, rev A)
bloodbroja	mame	Blood Bros. (Japan)
bloodbrou	mame	Blood Bros. (US)
bloodstm	mame	Blood Storm (v2.22)
bloodstm10	mame	Blood Storm (v1.04)
bloodstm11	mame	Blood Storm (v1.10)
bloodstm21	mame	Blood Storm (v2.10)
bloodstm22	mame	Blood Storm (v2.20)
bloodwar	mame	Blood Warrior
blox16b	mame	Bloxeed (System 16B, PS2 data file)
bloxeed	mame	Bloxeed (Japan, FD1094 317-0139)
bloxeedd	mame	Bloxeed (Japan, FD1094 317-0139 decrypted)
blstroid	mame	Blasteroids (rev 4)
